savename=baselines_concepts; dataset=wikiart; mode=clip; model_size=ViT-B/32; label_before_text=A photo of a visual art: a ,39.100486040115356,0.0,39.100486040115356,39.100486040115356,81.07902407646179,0.0,81.07902407646179,81.07902407646179
savename=baselines_concepts; dataset=wikiart; mode=gpt_descriptions; model_size=ViT-B/32; label_before_text=A photo of a visual art: a ,36.31575107574463,0.0,36.31575107574463,36.31575107574463,80.35582900047302,0.0,80.35582900047302,80.35582900047302
savename=baselines_concepts; dataset=wikiart; mode=gpt_descriptions; model_size=ViT-B/32; label_before_text=A photo of a visual art: a ,35.240164399147034,0.0,35.240164399147034,35.240164399147034,92.4095094203949,0.0,92.4095094203949,92.4095094203949
savename=baselines_concepts; dataset=wikiart; mode=clip; model_size=ViT-B/32; label_before_text=A photo of a visual art: a ,4.170963913202286,0.0,4.170963913202286,4.170963913202286,17.236383259296417,0.0,17.236383259296417,17.236383259296417
savename=baselines_concepts; dataset=wikiart; mode=gpt_descriptions; model_size=ViT-B/32; label_before_text=A photo of a visual art: a ,4.764009639620781,0.0,4.764009639620781,4.764009639620781,20.426304638385773,0.0,20.426304638385773,20.426304638385773
savename=baselines_concepts; dataset=wikiart; mode=gpt_descriptions; model_size=ViT-B/32; label_before_text=A photo of a visual art: a ,5.688571184873581,0.0,5.688571184873581,5.688571184873581,25.89632272720337,0.0,25.89632272720337,25.89632272720337
