savename=baseline_wikiart_style; dataset=wikiart; mode=clip; model_size=ViT-B/32,4.427582025527954,0.0,4.427582025527954,4.427582025527954,21.49084061384201,0.0,21.49084061384201,21.49084061384201
savename=baseline_wikiart_style; dataset=wikiart; mode=gpt_descriptions; model_size=ViT-B/32,6.781346350908279,0.0,6.781346350908279,6.781346350908279,29.41407561302185,0.0,29.41407561302185,29.41407561302185
savename=baseline_wikiart_style; dataset=wikiart; mode=gpt_descriptions; model_size=ViT-B/32,6.940965354442596,0.0,6.940965354442596,6.940965354442596,25.97244679927826,0.0,25.97244679927826,25.97244679927826
